trans_trip_starts,total
n/a,14
10 Ave SW and 14 St SW,1
10 St NW Entering Downtown,1
10th ave at 14th street,1
10th street / 20th ave N.W.,1
11th Street and 6th ave SW,1
12 ave SE,1
1310 9 St SW,1
14 street NW and Nrth mount ,1
17th Avenue SW and Richmond Rd SW,1
18th Ave & 7th St NW,1
2nd street SW & 17th ave,1
330 15 Ave SW,1
3rd Ave & 8th St SW,1
400 4th St SW,1
4th St NE (turns into 4th Ave over the bridge),1
4th St SE and the Bow River,1
4th street,1
5th street and Eau Claire Avenue,1
8 st,1
8th St SW,1
8th Street S.W,1
8th ave SW and 6th St SW,1
90th ave SE - Acadia,1
"9th st nw (Bridge from Inglewood), or 5th/4th (Eau Claire)",1
Altador,1
Arbour Lake,1
Bankview,4
Bayview,1
Beltline,7
Bow River pathway at 1 St SE,1
Bowness,1
Braeside,1
Brentwood,3
Bridgeland,5
Bridgleland,1
Brittania,1
Cambrian Heights,1
Canyon Meadows SW,1
Capitol Hill,1
Capitol Hill then through Sunnyside,1
Cedarbrae,1
Centre street bridge,1
Chinook Mall area,1
Cliff Bungalow,2
"Coach Hill, S.W.",1
Collingwood,1
Connaught,3
Connaught / Beltline,1
Connaught.,1
Crescent Hights,1
Crescest Heights,1
Crowchild Pedestrian Pass,1
Deer Run,1
Discovery Ridge,1
Douglasdale Estate,1
Dover,1
Downtown Westend,1
East village,1
Elbow Park,1
Garrison Woods. Come in on either 2nd or 8th street SW,1
Glenbrook,1
Glengarry,1
Glenmeadows,1
Haysboro,2
Hidden Valley,1
Hillhurst,2
Ingelwood,1
Inglewood,3
Inglewood/Ramsey,1
Kensington,1
Killarney,1
Killarneyg,1
Lake Bonavista,1
Lakeview,1
Lower Mount Royal,2
Lower Mt Royal,1
Marda Loop,5
Mayland Heights,1
Millrise,1
Mission,5
Mission.,1
Montgomery,3
Mount Pleasant,5
"Mount Pleasant (4St 19Ave NW), or from Talisman Centre",1
Mount Royal / Bankview,1
Mt Pleasant,1
Oakridge,1
Park Hill,1
Parkdale,3
Patterson,1
Pleasant Heights,1
Ramsay,4
Ramsey,1
Renfrew,1
Renfrew edmoton trail,1
Renfrew/Bridgeland,1
Richmond Hill,1
River Trail at 14th Street,1
Roxboro,1
Royal Oak,1
Rutland Park,2
Scenic Acres,1
Shaganappi,1
Silver Springs,5
Silversprings,1
South Calgary,1
Southeast Calgary,1
Southwood or Highfield,1
Spruce Cliff,1
St. Andrews,1
Sunalta,2
Sundance,2
Sunnyside,7
Talisman Center,1
The CBC building on Memorial Drive ,1
Thorncliffe,1
Tuscany,3
University,1
Varsity,5
Varsity (NW),1
Varsity Estates,1
Victoria Park,1
West Hillhurst,4
West Springs,1
West hillhurst,1
Wildwood,1
altadore,1
bankview,1
beltline,2
bridgeland,1
connaught,1
cougar ridge,1
drive to random starting pts.,1
glenmorgan,1
hillhurst,1
midnapore,2
mission,1
mission/cliff bungalow,1
oakridge,1
parkdale,1
scarboro ( 16 St SW and !7 Ave SW),1
sunnyside,1
thorncliffe nw ,1
wildwood,1
woodbine,1
